,commodity,num of obs
1040,Heat - Gross demand,767
1044,Heat - Net production,767
1219,Liquefied petroleum gas (LPG) - Production,766
980,Hard coal - transformation,766
2169,"Electricity - Consumption by paper, pulp and print",764
1625,Other bituminous coal - final consumption,763
1429,Natural gas (including LNG) - energy industries own use,762
1626,Other bituminous coal - final energy consumption,762
1606,"Other bituminous coal - consumption by manufacturing, construction and non-fuel industry",762
1436,Natural gas (including LNG) - imports,758
2259,White spirit and special boiling point industrial spirits - Total energy supply,757
2092,Refinery gas - Total energy supply,755
2090,Refinery gas - Production from refineries,755
2089,Refinery gas - Production,755
2251,White spirit and special boiling point industrial spirits - final consumption,752
947,Hard coal - consumption by non-metallic minerals industry,752
2173,Electricity - Consumption by textile and leather,752
721,Fuel oil - Energy industries own use,752
2200,Electricity - Own use by oil refineries,751
1611,"Other bituminous coal - consumption by other manuf., const. and non-fuel ind.",750
1692,Other kerosene - Final consumption,750
1627,Other bituminous coal - imports,749
2046,Petroleum coke - Total energy supply,747
2213,From combustible fuels – Main activity – Electricity plants,746
694,Fuel oil - Consumption by chemical and petrochemical,746
1693,Other kerosene - Final energy consumption,745
229,Bitumen - Exports,744
2254,White spirit and special boiling point industrial spirits - Non-energy uses,744
1221,Liquefied petroleum gas (LPG) - production from refineries,743
1039,Heat - Final energy consumption,741
2158,Electricity - Consumption by construction,741
790,Fuelwood - Transformation,740
1796,Other oil products n.e.c. - Total energy supply,737
2088,Refinery gas - Own use by oil refineries,736
2079,Refinery gas - Energy industries own use,736
1405,Natural Gas (including LNG) - consumption by commerce and public services,733
819,Gas Oil/ Diesel Oil - Consumption by food and tobacco ,729
816,Gas Oil/ Diesel Oil - Consumption by commerce and public services,729
1419,"Natural Gas (including LNG) - consumption by paper, pulp and print",725
820,Gas Oil/ Diesel Oil - Consumption by households,725
1780,Other oil products n.e.c. - Final consumption,725
836,Gas Oil/ Diesel Oil - Consumption in domestic navigation,725
1256,Lubricants - Exports,722
839,Gas Oil/ Diesel Oil - Consumption not elsewhere specified (industry),722
2164,Electricity - Consumption by mining and quarrying,721
1132,Kerosene-type Jet Fuel - production from refineries,720
1131,Kerosene-type Jet Fuel - Production,720
1029,Heat - Consumption by other,720
1609,Other bituminous coal - consumption by non-metallic minerals,720
847,Gas Oil/ Diesel Oil - International marine bunkers,719
1410,Natural Gas (including LNG) - consumption by industries not elsewhere specified,719
1416,Natural Gas (including LNG) - consumption by non-metallic minerals,719
1058,Heat production - Main activity total,718
986,"Hard coal - transformation in electricity, CHP and heat plants",716
2035,Petroleum coke - Imports,714
826,Gas Oil/ Diesel Oil - Consumption by non-metallic minerals ,713
670,"Electricity - total net installed capacity of electric power plants, wind",713
1408,Natural Gas (including LNG) - consumption by food and tobacco,712
948,Hard coal - consumption by other,711
2033,Petroleum coke - final consumption,709
238,Bitumen - production from refineries,705
237,Bitumen - Production,705
1123,Kerosene-type Jet Fuel - Final consumption,704
1124,Kerosene-type Jet Fuel - Final energy consumption,704
699,Fuel oil - Consumption by food and tobacco ,702
239,Bitumen - Stock changes,702
1678,Other kerosene - Consumption by other,701
1638,Other bituminous coal - stock changes,698
1412,Natural Gas (including LNG) - consumption by machinery,698
1122,Kerosene-type Jet Fuel - Exports,696
736,Fuel oil - Own use by oil refineries,696
2263,Electricity - total wind production,696
2165,Electricity - Consumption by non-ferrous metals,693
188,Biogases - Total energy supply,693
186,Biogases - Production,693
1200,Liquefied petroleum gas (LPG) - Consumption by transport,692
91,Aviation gasoline - Total energy supply,691
817,Gas Oil/ Diesel Oil - Consumption by construction ,688
2176,Electricity - Consumption by wood and wood products,688
1393,Naphtha - Total energy supply,685
1389,Naphtha - Production,683
1391,Naphtha - production from refineries,683
1421,Natural Gas (including LNG) - consumption by textile and leather,680
1203,Liquefied petroleum gas (LPG) - Consumption in road,680
2063,Feedstocks - transformation,677
2064,Feedstocks - transformation in oil refineries,677
706,Fuel oil - Consumption by non-metallic minerals ,675
1425,"Natural gas (including LNG) - consumption in agriculture, forestry and fishing",673
726,Fuel oil - International marine bunkers,672
718,Fuel oil - Consumption not elsewhere specified (industry),669
1110,Kerosene-type Jet Fuel - Consumption by domestic aviation,667
1116,Kerosene-type Jet Fuel - Consumption by transport,667
1647,"Other bituminous coal - Transformation in electricity, CHP and heat plants",666
1640,Other bituminous coal - transformation,666
189,Biogases - Transformation,665
1785,Other oil products n.e.c. - Non-energy uses,664
2212,From combustible fuels – Autoproducer – Electricity plants,662
2175,Electricity - Consumption by transport equipment,661
1270,Lubricants - Stock changes,659
1794,Other oil products n.e.c. - production from refineries,658
1793,Other oil products n.e.c. - Production,658
1021,Heat - Consumption by households,657
2061,Feedstocks - total energy supply,655
83,Aviation gasoline - Final consumption,655
