,commodity,num of obs
874,Gas Oil/ Diesel Oil - Transformation in heat plants - main activity producers,314
2229,Solar photovoltaic – Main activity,314
1240,Liquified Petroleum Gas (LPG) - Consumption by textile and leather,314
651,Electricity - net installed capacity of electric power plants public solar,313
377,Brown coal - exports,312
793,Fuelwood - Transformation in CHP plants - main activity producers,312
1190,Lignite - Transformation in main activity electricity plants,311
1435,Natural gas (including LNG) - flared and vented,307
51,Anthracite - imports,307
1235,Liquified Petroleum Gas (LPG) - Consumption by mining and quarrying,306
1605,Other bituminous coal - consumption by machinery industry,306
642,Electricity generating capacity - Solar PV - Main activity producers,305
767,"Fuelwood - Consumption by paper, pulp and print",304
410,Charcoal - Consumption by households,304
981,Hard coal - transformation in blast furnaces,304
194,Biogases - Transformation in electricity plants - main activity producers,303
2179,Electricity - Consumption not elsewhere specified (other),302
1056,Heat - Own use by oil refineries,302
1101,Industrial Waste - Transformation in CHP plants - autoproducers,298
284,Blast Furnace Gas - Losses,297
1840,"Vegetal waste - Consumption by manufacturing, construction and non-fuel mining industry",295
158,Biogases - Consumption by food and tobacco ,295
1843,"Vegetal waste - Consumption by other manufacturing, construction and non-fuel mining industry",293
1224,Liquefied petroleum gas (LPG) - Transfers and recycled products,292
218,Biogasoline - Total energy supply,291
840,Gas Oil/ Diesel Oil - Consumption not elsewhere specified (other),291
1614,Other bituminous coal - consumption by textile and leather industry,291
923,Gasworks Gas - Total energy supply,291
525,Coking coal - exports,290
211,Biogasoline - Final consumption,289
2170,Electricity - Consumption by pipeline transport,289
205,Biogasoline - Consumption by road,289
206,Biogasoline - consumption by transport,289
212,Biogasoline - Final energy consumption,289
299,Blast Furnace Gas - Transformation in electricity plants - autoproducers,288
760,Fuelwood - Consumption by machinery ,286
798,Fuelwood - Transformation in heat plants - main activity producers,285
1403,Naphtha - Transformation in petrochemical plants,285
1466,Natural Gas (including LNG) - transformation in heat plants - autoproducers,284
867,Gas Oil/ Diesel Oil - Transformation in CHP plants - autoproducers,283
1781,Other oil products n.e.c. - Final energy consumption,282
1598,"Other bituminous coal - consumption by agriculture, forestry and fishing",281
764,Fuelwood - Consumption by non-metallic minerals ,281
1657,Other hydrocarbons - total energy supply,281
191,Biogases - Transformation in CHP plants - main activity producers,279
332,Brown coal briquettes - imports,276
1434,Natural gas (including LNG) - Flared,273
49,Anthracite - Final consumption,273
87,Aviation gasoline - Production,273
50,Anthracite - final energy consumption,273
1536,Of which: biodiesel - Final energy consumption,272
2237,Uranium - production,272
1535,Of which: biodiesel - Final consumption,272
1543,Of which: biodiesel - Total energy supply,271
1526,Of which: biodiesel - Consumption by road,271
470,"Coke Oven Gas - Consumption by other manuf., const. and non-fuel ind.",271
1529,Of which: biodiesel - Consumption in transport,271
89,Aviation gasoline - production from refineries,268
2226,Solar – Autoproducer,267
400,Brown coal - Transformation in main activity CHP plants,266
241,Bitumen - Transfers and recycled products,266
1026,Heat - Consumption by mining and quarrying,266
2081,Refinery Gas - Final energy consumption,265
2072,"Refinery gas - consumption by manufacturing, construction and non-fuel mining industry",265
660,"Electricity - net installed capacity of electric power plants, self-producer wind",265
1959,Peat - production,264
1541,Of which: biodiesel - Receipts from other sources,264
1948,Peat (for fuel use) - Total energy supply,264
728,Fuel oil - Non-energy uses,263
1166,Lignite - Exports,262
1226,"Liquefied petroleum gas (LPG) - Transformation in electricity, CHP and heat plants",262
795,Fuelwood - Transformation in electricity plants - autoproducers,261
252,"Black Liquor - Consumption by paper, pulp and print",259
376,Brown coal - energy industries own use,258
82,Aviation gasoline - Exports,258
857,Gas Oil/ Diesel Oil - Own use by oil and gas extraction,258
861,Gas Oil/ Diesel Oil - Receipts from other sources,258
2228,Solar photovoltaic – Autoproducer,257
1944,Peat - final energy consumption,257
1798,Other oil products n.e.c. - Transformation,257
533,Coking coal - production,257
1946,Peat (for fuel use) - final consumption,257
338,Brown coal briquettes - stock changes,256
4,Additives and Oxygenates - Stock changes,256
2143,Sub-bituminous coal - Total energy supply,255
1242,Liquified Petroleum Gas (LPG) - Consumption by wood and wood products,255
1360,Municipal Wastes - Transformation in CHP plants - main activity producers,255
1568,Of which: biogasoline - Total energy supply,253
479,Coke Oven Gas - Losses,253
991,Hard coal - transformation in heat plants - main activity producers,253
1562,Of which: biogasoline - Final energy consumption,253
1555,Of which: biogasoline - Consumption by road,253
1764,"Other oil products n.e.c. - Consumption by manufacturing, construction and non-fuel mining industry",253
1561,Of which: biogasoline - Final consumption,253
1556,Of which: biogasoline - Consumption in transport,253
2065,Refinery gas - consumption by chemical and petrochemical,252
140,Biodiesel - Imports,252
2232,Wind – Autoproducer,252
498,Coke Oven Gas - Transformation in electricity plants - autoproducers,252
1004,From other sources – Autoproducer,252
353,Brown coal - Consumption by commerce and public services,251
1914,Patent fuel - Total energy supply,248
1666,Other kerosene - Consumption by commerce and public services,247
754,Fuelwood - Consumption by chemical and petrochemical,246
912,Gasworks Gas - Final energy consumption,245
751,Fuel oil - Transformation in heat plants - autoproducers,245
911,Gasworks Gas - Final consumption,245
1688,Other kerosene - Consumption not elsewhere specified (industry),244
33,"Anthracite - consumption by manufacturing, construction and non-fuel industry",243
393,Brown coal - Transformation in autoproducer CHP plants,243
1351,Municipal Wastes - Final energy consumption,241
1045,Heat - Other energy industry own use,241
1350,Municipal wastes - final consumption,241
356,"Brown coal - Consumption by food, beverage and tobacco industry",239
756,Fuelwood - Consumption by construction ,239
641,Electricity generating capacity - Solar PV - Autoproducers,239
1019,Heat - Consumption by construction,239
768,Fuelwood - Consumption by textile and leather ,238
1623,Other bituminous coal - energy industries own use,238
958,Hard coal - consumption for non-energy uses,238
1860,Vegetal waste - Transformation,238
1685,"Other kerosene - Consumption in agriculture, forestry and fishing",238
1455,Natural gas (including LNG) - total resources,238
526,Coking coal - final consumption,236
1250,Liquified Petroleum Gas (LPG) - Transformation in petrochemical plants,236
1907,Patent fuel - Final consumption,235
1908,Patent fuel - Final energy consumption,235
1182,Lignite - Transformation in autoproducer CHP plants,235
1189,Lignite - Transformation in main activity CHP plants,235
970,Hard coal - own use by coal mines,233
1651,Other bituminous coal - transformation in main activity producer heat plants,233
352,Brown coal - consumption by chemical and petrochemical industry,231
1500,Natural gas liquids - Stock changes,231
1027,Heat - Consumption by non-ferrous metals,231
373,Brown coal - Consumption not elsewhere specified (industry),231
1320,Motor Gasoline - Receipts from other sources,230
1566,Of which: biogasoline - Receipts from other sources,230
312,"Brown coal briquettes - consumption by manufacturing, construction and non-fuel mining industry",230
2191,Electricity - Own use by briquetting plants,230
853,Gas Oil/ Diesel Oil - Own use by coal mines,229
216,Biogasoline - production,229
1066,Industrial Waste - Consumption by chemical and petrochemical,229
317,"Brown coal briquettes - Consumption by other manuf., const. and non-fuel ind.",229
1897,Patent fuel - Consumption by other,228
1863,"Vegetal waste - Transformation in electricity, CHP and heat plants",228
598,"Direct use of geothermal heat - Consumption by agriculture, forestry and fishing",227
1144,Lignite - Consumption by commerce and public services,227
1146,Lignite - Consumption by food and tobacco industry,226
2048,Petroleum coke - Transformation,226
1440,Natural gas (including LNG) - other energy industry own use,226
1363,Municipal Wastes - Transformation in electricity plants - main activity producers,225
213,Biogasoline - imports,225
1933,Peat - consumption by other,224
2136,Sub-bituminous coal - Final consumption,223
797,Fuelwood - Transformation in heat plants - autoproducers,223
987,Hard coal - transformation in electricity plants - autoproducers,223
2137,Sub-bituminous coal - Final energy consumption,223
1359,Municipal Wastes - Transformation in CHP plants - autoproducers,221
945,Hard coal - consumption by mining and quarrying industry,220
2120,"Sub-bituminous coal - Consumption by manufacturing, construction and non-fuel industry",219
371,"Brown coal - consumption in agriculture, forestry and fishing",218
1928,Peat - consumption by households,217
648,"Electricity - net installed capacity of electric power plants, public geothermal",217
1659,Other hydrocarbons - transformation,217
663,"Electricity - total net installed capacity of electric power plants, geothermal",217
788,Fuelwood - Stock changes,216
2,Additives and Oxygenates - Production,216
1277,Motor Gasoline - Consumption by construction ,215
1362,Municipal Wastes - Transformation in electricity plants - autoproducers,215
1260,Lubricants - International marine bunkers,214
527,Coking coal - final energy consumption,214
386,Brown coal - own use by coal mines,213
2144,Sub-bituminous coal - Transformation,213
1036,Heat - Consumption not elsewhere specified (other),213
1496,Natural gas liquids - Other transformation,213
1162,Lignite - Consumption not elsewhere specified (industry),213
512,"Coking coal - consumption by manufacturing, construction and non-fuel industry",213
1607,Other bituminous coal - consumption by mining and quarrying industry,212
2125,"Sub-bituminous coal - Consumption by other manuf., const. and non-fuel ind.",212
154,"Biogases - Consumption by agriculture, forestry and fishing",212
900,Gasworks Gas - Consumption by other,212
602,Direct use of geothermal heat - Consumption by households,212
893,Gasworks Gas - Consumption by households,211
1445,"Natural gas (including LNG) - own use by electricity, heat and CHP plants",210
933,Electricity - total geothermal production,209
2217,Geothermal – Main activity – Electricity plants,209
719,Fuel oil - Consumption not elsewhere specified (other),208
1642,Other bituminous coal - transformation in autoproducer electricity plants,208
1365,Municipal Wastes - Transformation in heat plants - main activity producers,206
60,Anthracite - stock changes,205
2150,"Sub-bituminous coal - Transformation in electricity, CHP and heat plants",204
1427,Natural gas (including LNG) - consumption not elsewhere specified (other),204
137,Biodiesel - Exports,203
448,Coal Tar - Total energy supply,203
445,Coal Tar - Production,203
1143,Lignite - Consumption by chemical and petrochemical industry,201
796,Fuelwood - Transformation in electricity plants - main activity producers,201
2142,Sub-bituminous coal - Stock changes,201
1493,Natural gas liquids - Imports,200
1441,Natural gas (including LNG) - other transformation,199
2260,White spirit and special boiling point industrial spirits - Transfers and recycled products,197
2057,Feedstocks - exports,197
1644,Other bituminous coal - transformation in blast furnaces,196
1961,Peat - transformation,196
1891,Patent fuel - consumption by households,196
693,Falling water - total hydraulic resources,196
896,"Gasworks Gas - Consumption by manufacturing, construction and non-fuel industry",195
1909,Patent fuel - imports,195
359,Brown coal - Consumption by machinery industry,194
855,"Gas Oil/ Diesel Oil - Own use by electricity, heat and CHP plants",194
415,Charcoal - Consumption not elsewhere specified (other),191
1443,Natural gas (including LNG) - own use by coal mines,190
1165,Lignite - Energy industries own use,190
1083,Industrial Waste - Consumption not elsewhere specified (industry),190
1823,Other recovered gases - Production,189
1824,Other recovered gases - Total energy supply,189
1698,Other kerosene - Non-energy uses,188
1113,Kerosene-type Jet Fuel - Consumption by other,188
1960,Peat - stock changes,187
300,Blast Furnace Gas - Transformation in electricity plants - main activity producers,187
1050,Heat - Own use by coal mines,187
675,Ethane - Consumption for non-energy uses,186
678,Ethane - Final consumption,186
1631,Other bituminous coal - own use by coal mines,186
2172,Electricity - Consumption by road,185
1801,"Other oil products n.e.c. - Transformation in electricity, CHP and heat plants",185
296,Blast Furnace Gas - Transformation in CHP plants - main activity producers,185
1340,Municipal Wastes - Consumption by other,184
2196,Electricity - Own use by gas works,184
875,Gas Oil/ Diesel Oil - Transformation in petrochemical plants,184
196,Biogases - Transformation in heat plants - main activity producers,183
1770,"Other oil products n.e.c. - Consumption by other manuf., const. and non-fuel min. ind.",183
366,"Brown coal - Consumption by paper, pulp and print",183
329,Brown coal briquettes - exports,183
762,Fuelwood - Consumption by mining and quarrying ,182
396,Brown coal - transformation in briquetting plants,182
2053,"Petroleum coke - Transformation in electricity, CHP and heat plants",180
510,Coking coal - consumption by iron and steel,180
1664,Other hydrocarbons - transformation in oil refineries,180
38,"Anthracite - consumption by other manuf., const. and non-fuel ind.",179
1444,Natural gas (including LNG) - own use by coke ovens,178
174,Biogases - Consumption not elsewhere specified (industry),178
1105,Industrial Waste - Transformation in electricity plants - autoproducers,176
1198,Liquefied petroleum gas (LPG) - Consumption by other consumers not elsewhere specified,176
890,Gasworks Gas - Consumption by commerce and public services,174
1102,Industrial Waste - Transformation in CHP plants - main activity producers,174
1655,Other hydrocarbons - receipts from other sources,173
147,Biodiesel - Stock changes,173
1015,Geothermal – Main activity – Heat plants,172
2204,Electricity - Used for electric boilers,171
759,Fuelwood - Consumption by iron and steel,170
1227,Liquefied petroleum gas (LPG) - Transformation in gas works,170
1007,From other sources – Main activity,169
1279,Motor Gasoline - Consumption by domestic navigation,169
2151,Sub-bituminous coal - Transformation in main activity electricity plants,169
499,Coke Oven Gas - Transformation in electricity plants - main activity producers,168
940,Hard coal - consumption by construction industry,168
1002,From electric boilers – Main activity,168
1220,Liquefied petroleum gas (LPG) - production from plants,167
436,Coal Tar - Final consumption,165
1276,Motor Gasoline - Consumption by commerce and public services,165
567,Conventional crude oil - energy industries own use,165
990,Hard coal - transformation in heat plants - autoproducers,165
2083,Refinery gas - Non-energy uses,165
354,Brown coal - Consumption by construction industry,165
1331,Municipal Wastes - Consumption by commerce and public services,165
2093,Refinery gas - Transfers and recycled products,163
1149,Lignite - Consumption by machinery industry,163
1965,"Peat - transformation in electricity, CHP and heat plants",163
770,Fuelwood - Consumption by transport equipment ,162
48,Anthracite - exports,162
367,Brown coal - Consumption by textile and leather,162
1142,"Lignite - Consumption by agriculture, forestry and fishing",162
336,Brown coal briquettes - production,162
776,Fuelwood - Energy industries own use,161
1061,Nuclear – Main activity – CHP plants,161
901,"Gasworks Gas - Consumption by other manuf., const. and non-fuel ind.",160
687,Ethane - Total energy supply,160
2019,Petroleum coke - Consumption by iron and steel,160
921,Gasworks Gas - Receipts from other sources,160
914,Gasworks Gas - Losses,160
949,Hard coal - consumption by other consumers,159
955,Hard coal - consumption by transport,159
2140,Sub-bituminous coal - Production,158
2138,Sub-bituminous coal - Imports,158
1600,Other bituminous coal - consumption by construction industry,158
873,Gas Oil/ Diesel Oil - Transformation in heat plants - autoproducers,155
1059,Heat - Used for electricity production,154
1913,Patent fuel - stock changes,154
1490,Natural gas liquids - Exports,154
1185,Lignite - Transformation in briquetting plants,153
168,"Biogases - Consumption by paper, pulp and print",153
2123,Sub-bituminous coal - Consumption by non-metallic minerals industry,153
953,Hard coal - consumption by rail,152
1145,Lignite - Consumption by construction,152
1302,Motor Gasoline - Energy industries own use,152
306,Brown Coal Briquettes - Consumption by commerce and public services,152
1930,"Peat - consumption by manufacturing, construction and non-fuel industry",151
1158,Lignite - Consumption by textile and leather,151
1119,Kerosene-type Jet Fuel - Consumption not elsewhere specified (other),151
2124,Sub-bituminous coal - Consumption by other,151
495,Coke Oven Gas - Transformation in CHP plants - main activity producers,151
404,Lignite brown coal- recoverable resources,151
1943,Peat - exports,150
1341,"Municipal Wastes - Consumption by other manuf., const. and non-fuel ind.",149
402,Brown coal - Transformation in main activity heat plants,149
1336,"Municipal Wastes - Consumption by manufacturing, construction and non-fuel industry",149
483,Coke Oven Gas - Own use by blast furnaces,149
733,"Fuel oil - Own use by electricity, heat and CHP plants",149
1906,Patent fuel - exports,149
1934,"Peat - consumption by other manuf., const. and non-fuel ind.",149
2098,Refinery Gas - Transformation in electricity plants - autoproducers,149
1643,Other bituminous coal - transformation in autoproducer heat plants,148
358,Brown coal - consumption by iron and steel industry,148
967,Hard coal - losses,147
637,Electricity generating capacity - From other sources - Total,147
1174,Lignite - Own use by coal mines,147
287,Blast Furnace Gas - Own use by blast furnaces,146
683,Ethane - Production,146
1077,Industrial Waste - Consumption by other,146
361,Brown coal - Consumption by mining and quarrying industry,146
841,Gas Oil/ Diesel Oil - Consumption not elsewhere specified (transport),145
920,Gasworks Gas - Production,144
458,Coke Oven Gas - Consumption by chemical and petrochemical,143
1108,Industrial Waste - Transformation in heat plants - main activity producers,143
1747,Other liquid biofuels - Total energy supply,142
1962,Peat - transformation in briquetting plants,142
1156,"Lignite - Consumption by paper, pulp and print",142
1912,Patent fuel - production,142
1828,"Other recovered gases - Transformation in electricity, CHP and heat plants",142
577,Conventional crude oil - own use by oil and gas extraction,142
1825,Other recovered gases - Transformation,142
92,Aviation gasoline - Transfers and recycled products,141
395,Brown coal - Transformation in autoproducer heat plants,141
1379,Naphtha - Energy industries own use,140
909,Gasworks Gas - Energy industries own use,140
31,Anthracite - consumption by iron and steel,140
217,Biogasoline - stock changes,138
956,Hard coal - consumption by transport equipment industry,137
2198,Electricity - Own use by nuclear fuel extraction and processing,137
850,Gas Oil/ Diesel Oil  - Other energy industry own use,137
1191,Lignite - Transformation in main activity heat plants,137
468,Coke Oven Gas - Consumption by non-metallic minerals ,137
1673,Other kerosene - Consumption by machinery ,136
2018,Petroleum Coke - Consumption by industries not elsewhere specified,136
1756,Other oil products n.e.c. - Consumption by chemical and petrochemical,136
263,"Black Liquor - Transformation in electricity, CHP and heat plants",136
260,Black Liquor - Transformation,136
1388,Naphtha - Own use by oil refineries,136
362,Brown coal - Consumption by non-ferrous metals industry,135
1431,Natural gas (including LNG) - extraction loss shrinkage,134
1107,Industrial Waste - Transformation in heat plants - autoproducers,134
1067,Industrial Waste - Consumption by commerce and public services,133
1616,Other bituminous coal - consumption by transport equipment industry,132
210,Biogasoline - exports,132
1746,Other liquid biofuels - Production,131
1151,Lignite - Consumption by mining and quarrying industry,131
1005,From other sources – Autoproducer – CHP plants,131
1682,Other kerosene - Consumption by transport,129
2117,Sub-bituminous coal - Consumption by households,129
277,"Blast Furnace Gas - Consumption by other manuf., const. and non-fuel ind.",128
635,Electricity generating capacity - From other sources - Autoproducers,128
1079,"Industrial Waste - Consumption by paper, pulp and print",128
957,Hard coal - consumption by wood and wood products industry,127
1468,Natural gas (including LNG) - Vented,127
1807,Other oil products n.e.c. - Transformation in petrochemical plants,127
684,Ethane - Production from plants,126
774,Fuelwood - Consumption not elsewhere specified (other),126
2105,Refinery Gas - Transformation in petrochemical plants,126
340,Brown coal briquettes - Transformation,125
155,Biogases - Consumption by chemical and petrochemical,125
381,Brown coal - losses,125
1003,From heat pumps – Main activity,125
1364,Municipal Wastes - Transformation in heat plants - autoproducers,125
935,Coal - recoverable reserves,125
1282,Motor Gasoline - Consumption by industries not elsewhere specified,125
1617,Other bituminous coal - consumption by wood and wood products industry,124
1665,Other kerosene - Consumption by chemical and petrochemical,124
1883,Paraffin waxes - Transfers and recycled products,123
1106,Industrial Waste - Transformation in electricity plants - main activity producers,122
1689,Other kerosene - Consumption not elsewhere specified (other),122
924,Gasworks Gas - Transformation,120
1816,Other recovered gases - Final consumption,120
605,"Direct use of geothermal heat - Consumption by manufacturing, construction and non-fuel mining industry",120
1810,"Other recovered gases - Consumption by manufacturing, construction and non-fuel mining industry",120
2205,Electricity - Used for heat pumps,120
1817,Other recovered gases - Final energy consumption,120
608,"Direct use of geothermal heat - Consumption by other manuf., const. and non-fuel ind.",120
1069,Industrial Waste - Consumption by food and tobacco ,120
0,Additives and Oxygenates - Exports,120
982,Hard coal - transformation in briquetting plants,118
1809,Other recovered gases - Consumption by iron and steel,118
848,Gas Oil/ Diesel Oil - Losses,118
1502,Natural gas liquids - Transfers and recycled products,117
887,Gasoline-type jet fuel - Total energy supply,117
36,Anthracite - consumption by non-metallic minerals,117
301,Blast Furnace Gas - Transformation in heat plants - autoproducers,117
345,"Brown coal briquettes - Transformation in electricity, CHP and heat plants",117
1428,Natural gas (including LNG) - consumption not elsewhere specified (transport),117
435,Coal Tar - Exports,117
2004,Peat products - production,115
2006,Peat products - Total energy supply,115
1072,Industrial Waste - Consumption by machinery ,114
1370,"Naphtha - Consumption by manufacturing, construction and non-fuel mining industry",114
1382,Naphtha - Final energy consumption,114
1148,Lignite - Consumption by iron and steel industry,114
977,Hard coal - receipts from other sources,114
1184,Lignite - Transformation in autoproducer heat plants,113
1618,Other bituminous coal - consumption for non-energy uses,113
1637,Other bituminous coal - receipts from other sources,112
1653,Other hydrocarbons - imports,112
1465,Natural gas (including LNG) - transformation in gas works,112
2047,Petroleum coke - Transfers and recycled products,111
1711,Other kerosene - Transformation,111
1284,Motor Gasoline - Consumption by machinery ,111
2052,Petroleum coke - Transformation in coke ovens,110
1152,Lignite - Consumption by non-ferrous metals industry,110
1055,Heat - Own use by oil and gas extraction,110
907,Gasworks Gas - Consumption not elsewhere specified (industry),110
1244,Liquified Petroleum Gas (LPG) - Transformation in CHP plants - autoproducers,110
1613,Other bituminous coal - consumption by rail,109
1615,Other bituminous coal - consumption by transport,109
1048,Heat - Own use by briquetting plants,109
2135,Sub-bituminous coal - Exports,109
1690,Other kerosene - Energy industries own use,108
1942,Peat - energy industries own use,108
368,Brown coal - Consumption by transport,108
1799,Other oil products n.e.c. - Transformation in CHP plants - autoproducers,107
972,"Hard coal - own use by electricity, CHP and heat plants",107
439,Coal Tar - Non-energy uses,107
475,Coke Oven Gas - Consumption not elsewhere specified (industry),106
1010,Geothermal – Autoproducer,106
1645,Other bituminous coal - transformation in briquetting plants,105
579,Conventional crude oil - production from off-shore,105
324,"Brown coal briquettes - consumption in agriculture, forestry and fishing",104
394,Brown coal - Transformation in autoproducer electricity plants,104
1969,Peat - transformation in heat plants - main activity producers,104
6,Additives and Oxygenates - transfers and recycled products,103
892,Gasworks Gas - Consumption by food and tobacco ,103
369,Brown coal - Consumption by transport equipment industry,103
1975,Peat products - Consumption by households,103
1995,Peat Products - Final energy consumption,103
2014,Petroleum coke - consumption by chemical and petrochemical,103
1833,"Vegetal waste - Consumption by agriculture, forestry and fishing",103
1982,Peat products - Consumption by other,103
1994,Peat products - final consumption,103
1667,Other kerosene - Consumption by construction ,102
195,Biogases - Transformation in heat plants - autoproducers,102
889,Gasworks Gas - Consumption by chemical and petrochemical,102
753,Fuel oil - Transformation in petrochemical plants,102
1308,Motor Gasoline - Losses,101
1963,Peat - transformation in CHP plants - autoproducers,101
37,Anthracite - consumption by other,101
1249,Liquified Petroleum Gas (LPG) - Transformation in heat plants - main activity producers,101
1209,Liquefied petroleum gas (LPG) - Losses,100
2005,Peat products - stock changes,100
438,Coal Tar - Imports,100
628,"Direct use of solar thermal heat - Consumption by other manuf., const. and non-fuel ind.",99
993,From chemical sources – Autoproducer,99
623,"Direct use of solar thermal heat - Consumption by manufacturing, construction and non-fuel mining industry",99
1281,Motor Gasoline - Consumption by households,99
1452,Natural Gas (including LNG) - receipts from other sources,99
785,"Fuelwood - Own use by electricity, heat and CHP plants",99
2096,Refinery Gas - Transformation in CHP plants - main activity producers,99
632,Direct use of solar thermal heat - Consumption not elsewhere specified (industry),99
541,Coking coal - transformation in blast furnaces,98
1964,Peat - transformation in CHP plants - main activity producers,98
464,Coke Oven Gas - Consumption by machinery ,98
918,Gasworks Gas - Own use by gas works,98
2111,Sub-bituminous coal - Consumption by commerce and public services,97
927,"Gasworks Gas - Transformation in electricity, CHP and heat plants",97
2215,From other sources – Main activity – Electricity plants,97
1748,Other liquid biofuels - Transformation,97
1751,"Other liquid biofuels - Transformation in electricity, CHP and heat plants",97
276,Blast Furnace Gas - Consumption by non-metallic minerals ,97
1768,Other oil products n.e.c. - Consumption by other,97
1952,Peat - losses,96
429,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",96
886,Gasoline-type jet fuel - Stock changes,96
437,Coal Tar - Final energy consumption,96
727,Fuel oil - Losses,95
880,Gasoline-type jet fuel - Final consumption,95
881,Gasoline-type jet fuel - Final energy consumption,95
877,Gasoline-type jet fuel - Consumption in transport,95
876,Gasoline-type jet fuel - Consumption by domestic aviation,95
1183,Lignite - Transformation in autoproducer electricity plants,95
2152,Sub-bituminous coal - Transformation main activity CHP plants,94
1633,"Other bituminous coal - own use by electricity, CHP and heat plants",94
716,Fuel oil - Consumption in rail,94
569,Conventional crude oil - final consumption,93
370,Brown coal - Consumption by wood and wood products industry,93
1170,Lignite - Losses,93
387,"Brown coal - own use by electricity, CHP and heat plants",92
328,Brown coal briquettes - energy industries own use,92
591,"Crude petroleum - consumption by manufacturing, construction and non-fuel mining industry",92
1255,Lubricants - Energy industries own use,92
570,Conventional crude oil - final energy consumption,92
1280,Motor Gasoline - Consumption by food and tobacco ,91
971,Hard coal - own use by coke ovens,91
374,Brown coal - consumption not elsewhere specified (other),91
1112,"Kerosene-type Jet Fuel - Consumption by manufacturing, construction and non-fuel mining industry",90
2055,Petroleum Coke - Transformation in electricity plants - main activity producers,90
177,Biogases - Energy industries own use,90
1114,"Kerosene-type Jet Fuel - Consumption by other manuf., const. and non-fuel min. ind.",90
62,Anthracite - transformation,90
937,Coal - total resources in place,90
501,Coke Oven Gas - Transformation in heat plants - autoproducers,90
2025,Petroleum coke - Consumption by other,89
502,Coke Oven Gas - Transformation in heat plants - main activity producers,89
42,Anthracite - consumption in households,89
636,Electricity generating capacity - From other sources - Main activity producers,89
1923,"Peat - consumption by agriculture, forestry and fishing",89
895,Gasworks Gas - Consumption by machinery ,88
616,"Direct use of solar thermal heat - Consumption by agriculture, forestry and fishing",88
1951,Peat - imports,88
406,Lignite brown coal - total resources in place,88
382,Brown coal - non-energy uses,87
1175,"Lignite - Own use by electricity, CHP and heat plants",87
1063,Solar thermal – Main activity,87
1006,From other sources – Autoproducer – Heat plants,87
743,Fuel oil - Transformation in blast furnaces,86
1743,Other liquid biofuels - Final energy consumption,86
1082,Industrial Waste - Consumption by wood and wood products ,86
1993,Peat products - exports,86
1742,Other liquid biofuels - Final consumption,86
1346,Municipal Wastes - Consumption not elsewhere specified (industry),85
2206,From chemical heat – Autoproducer,85
782,Fuelwood - Other energy industry own use,85
1491,Natural gas liquids - Final consumption,85
1687,Other kerosene - consumption in road,84
405,Lignite brown coal - total known reserves,84
1866,Vegetal waste - Transformation in heat plants - autoproducers,84
1316,Motor Gasoline - Own use by oil refineries,83
1656,Other hydrocarbons - stock changes,83
1628,Other bituminous coal - losses,83
3,Additives and Oxygenates - Receipts from other sources,82
1366,Naphtha - Consumption by chemical and petrochemical,82
254,Black Liquor - Consumption not elsewhere specified (industry),82
613,Direct use of geothermal heat - Consumption not elsewhere specified (industry),82
731,Fuel oil - Own use by coal mines,81
882,Gasoline-type jet fuel - Imports,81
936,Coal - total known reserves,81
1160,Lignite - Consumption by wood and wood products industry,81
1051,Heat - Own use by coke ovens,80
2101,Refinery Gas - Transformation in heat plants - autoproducers,80
315,Brown Coal Briquettes - Consumption by non-metallic minerals ,80
1654,Other hydrocarbons - production,80
1290,Motor Gasoline - Consumption by other consumers,80
1767,Other oil products n.e.c. - Consumption by non-metallic minerals ,80
1861,Vegetal waste - Transformation in CHP plants - autoproducers,79
1265,Lubricants - Own use by oil refineries,79
879,Gasoline-type jet fuel - Exports,79
326,Brown Coal Briquettes - Consumption not elsewhere specified (industry),78
2214,From other sources – Autoproducer – Electricity plants,78
1675,Other kerosene - Consumption by mining and quarrying ,78
884,Gasoline-type jet fuel - Production,78
885,Gasoline-type jet fuel - Production from refineries,78
2132,Sub-bituminous coal - Consumption not elsewhere specified (industry),78
1658,Other hydrocarbons - transfers and recycled products,77
729,Fuel oil - Other energy industry own use,77
720,Fuel oil - Consumption not elsewhere specified (transport),77
2023,Petroleum Coke - Consumption by non-ferrous metals ,77
2054,Petroleum Coke - Transformation in electricity plants - autoproducers,77
1818,Other recovered gases - Losses,77
30,Anthracite - consumption by food and tobacco,76
261,Black Liquor - Transformation in CHP plants - autoproducers,76
1339,Municipal Wastes - Consumption by non-metallic minerals ,76
109,Bagasse - Total energy supply,75
1621,Other bituminous coal - consumption not elsewhere specified (other),75
888,Gasoline-type jet fuel - Transfers and recycled products,75
1968,Peat - transformation in heat plants - autoproducers,75
99,"Bagasse - Consumption by other manuf., const. and non-fuel ind.",75
763,Fuelwood - Consumption by non-ferrous metals ,75
106,Bagasse - Final energy consumption,75
95,"Bagasse - Consumption by manufacturing, construction and non-fuel industry",75
105,Bagasse - Final consumption,75
1342,"Municipal Wastes - Consumption by paper, pulp and print",75
1398,"Naphtha - Transformation in electricity, CHP and heat plants",75
108,Bagasse - Production,75
1841,Vegetal waste - Consumption by non-metallic minerals ,74
633,Direct use of solar thermal heat - Consumption not elsewhere specified (other),74
1894,"Patent fuel - consumption by manufacturing, construction and non-fuel mining industry",74
1836,Vegetal waste - Consumption by food and tobacco ,74
1159,Lignite - Consumption by transport equipment industry,74
